task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Buy a Gift for the Taskmaster,"Contestants were instructed to buy a gift for Greg Davies, the Taskmaster, using a budget of £20. They had 20 weeks to complete this task, and the gifts were to be presented and justified in the studio.",The task was completed outside the Taskmaster house as it involved contestants purchasing gifts in their own time. The gift presentation and judging took place in the studio.,['£20 budget'],"['Budget: £20', 'Time: 20 weeks to complete the task', 'Gift had to be purchased and presented to the Taskmaster']","['Creativity', 'Gift-giving', 'Personalization', 'Time-based']","['Creativity', 'Understanding of Greg Davies', 'Resourcefulness', 'Presentation']",Mental/Creative,solo,"['Involved gift presentation and justification, which required some performance skills.']",Alex introduced the task and facilitated the studio segment where the gifts were presented.,3,3,80,3,9,1,2,8,2,9,2,3_3_80,Taskmaster UK,Lab,Inside House,Creative,Solo,5,8,2,3,7,4,3,2
Create the best flag meal,"Contestants were required to create a meal that represents a national flag using food items. They had 10 minutes to choose which flag they wanted to recreate and plan their meal, followed by 30 minutes to prepare the meal.",Taskmaster house kitchen,"['Various food items', 'Cooking equipment']","['10 minutes for flag selection and meal planning', '30 minutes for meal preparation', 'Subjective judging by Greg Davies']","['Food-related', 'Art', 'Creative', 'Time-based', 'Subjective']","['Creative thinking', 'Food preparation skills', 'Time management', 'Visual design abilities', 'Knowledge of national flags']",artistic,solo,['Creative culinary presentation'],Assisted in the task setup and interacted with contestants during the task.,3,3,81,7,9,3,5,8,7,3,4,3_3_81,Taskmaster UK,Kitchen,Inside House,Creative,Solo,8,9,4,5,8,7,3,2
Anchor balloons using bread,Contestants were tasked with anchoring as many fully inflated balloons as possible using only bread. The balloons needed to be resting on a mat and held down solely by bread after a time limit.,Studio,"['Balloons', 'Bread']","['Balloons must be fully inflated.', 'Only bread could be used to anchor the balloons.', 'Task had a time limit of 100 seconds.']","['Creative problem-solving', 'Physical', 'Time-based']","['Creativity', 'Problem-solving', 'Speed', 'Dexterity']",engineering,solo,[],Alex Horne acted as the task supervisor and whistleblower for timing.,3,3,82,8,9,5,6,8,9,2,4,3_3_82,Taskmaster UK,Lab,Inside House,Engineering,Solo,8,9,5,4,7,8,6,3
The Shiniest Thing,"Contestants were asked to bring in the shiniest item they could find. The task was to interpret ""shiniest"" in any way they saw fit, whether literally or creatively, and present their chosen item in the studio as part of the prize task.",Studio (Prize Task segment),[],"['Contestants were to bring in a single item.', 'The item was judged based on its ""shininess,"" with the interpretation left open-ended.', 'Points were awarded by Greg Davies based on his subjective judgment.']","['Interpretation-based', 'Presentation', 'Prize task', 'Creative thinking']","['Lateral thinking (for creative interpretations)', 'Judgement (understanding what might appeal to the Taskmaster)', 'Presentation skills (effectively showcasing the item)', 'Attention to task wording (deciding whether to go literal or creative)']",Mental,Solo,"['Involved presentation and, for some, creative interpretation (e.g., puns).']","As the assistant to the Taskmaster, Alex Horne introduced the task and facilitated the studio segment.",3,4,83,6,7,1,1,7,2,9,2,3_4_83,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,8,9,2,3,8,1,3,5
Spread your clothes far and wide,"Contestants must spread four items of clothing they are currently wearing as far and wide as possible within 30 minutes, using no special props or aids beyond their own clothing and resources.","The task took place outdoors, starting at the Taskmaster house and potentially extending throughout London.","[""Contestants' own clothing""]","['Discard exactly four items of clothing from what contestants were wearing.', 'Spread items as far and widely as possible.', 'Time limit of 30 minutes.', 'Contestants bore any costs incurred.']","['Physical', 'Creative', 'Time-based', 'Risk-taking']","['Strategic planning', 'Creativity', 'Physical mobility', 'Risk management']",Primarily creative and physical.,solo,['Involved strategic thinking and improvisation.'],"Alex Horne observed and facilitated the task, offering commentary and clarifications.",3,4,84,7,8,6,5,9,7,3,4,3_4_84,Taskmaster UK,Garden,Outside House,Physical,Solo,8,7,6,3,9,7,5,2
Find out the old man’s profession,Contestants had to determine the profession of an elderly gentleman. They could ask him any question but had to whisper. The old man could only respond by nodding or shaking his head and was constrained to lying in all his responses. The fastest contestant to correctly identify the profession won.,"The task took place in the lab, a familiar Taskmaster set location for mental and social tasks.","['An elderly gentleman (named Hugh, age 83)', 'The task brief']","['Contestants must whisper their questions.', 'The gentleman could only nod or shake his head.', 'He could only lie in his responses.', 'The winner was determined by the fastest time to correctly identify his profession.']","['Mental', 'Social interaction', 'Deductive reasoning', 'Time-based']","['Lateral thinking', 'Logical deduction', 'Communication skills', 'Patience', 'Observation']",Mental,Solo,['Involved acting in terms of maintaining a whisper and interpreting indirect responses.'],"Alex Horne supervised the task, ensuring contestants adhered to the rules and timing their performance.",3,4,85,7,8,2,7,9,8,2,4,3_4_85,Taskmaster UK,Lab,Inside House,Mental,Solo,8,7,2,4,9,8,6,3
Create an impressive special effect,"Contestants were tasked with creating the most impressive or striking special effect using limited props and resources. They had to conceptualize, perform, and film the effect within a given time frame.","Outdoors, in the garden area of the Taskmaster house.","['Model airplane (P-51 Mustang)', 'football', 'newspaper', 'costumes', 'general access to other props available at the Taskmaster house']","['Contestants had one hour to complete the task.', ""The interpretation of 'most special effect' was left open to their creativity, with the effect needing to be performed and filmed within the given resources and time frame.""]","['Creative/Artistic', 'Performance-based', 'Time-based', 'Technical (practical effects)', 'Teamwork']","['Creativity and imagination', 'Teamwork and collaboration', 'Practical effects (using props and camera tricks)', 'Quick thinking and time management']",Performance-based,Group task,"['Involved acting', 'visual storytelling', 'comedic elements']","Alex Horne appeared as part of the special effect, sitting on a bench and playing a role in the visual trick.",3,4,86,7,9,4,5,8,8,3,3,3_4_86,Taskmaster UK,Garden,Outside House,Creative,Group,8,9,4,6,8,7,3,2
Cover yourself in sticky notes,"Contestants, while blindfolded, must cover themselves in sticky notes. The sticky notes must be applied individually, and the person with the most sticky notes still attached to their body after 100 seconds wins.","This was a live task performed in the studio in front of a live audience and Greg Davies, the Taskmaster.","['Blindfolds for each contestant.', 'A supply of sticky notes (standard Post-it style notes).']","['Contestants must remain blindfolded.', 'Sticky notes must be applied one at a time.', 'Only the sticky notes still attached after 100 seconds are counted.', 'Sticky notes cannot be placed inside clothing.']","['Physical', 'Time-based', 'Humorous', 'Sensory deprivation']","['Speed and efficiency in repetitive motion.', 'Tactile awareness and spatial sense.', 'Ability to remain calm under pressure.', 'Strategic thinking regarding body coverage.']",physical,solo,"['The task involved acting in the sense of performing blindfolded in front of an audience, adding to the comedic element.']","Alex Horne acted as the task introducer and overseer, providing instructions and managing the live task setup.",3,4,87,7,4,6,5,8,8,2,5,3_4_87,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,7,5,4,9,8,6,3
Have the most fun on this bouncy castle.,Contestants were instructed to have the most fun possible on a bouncy castle within a time limit.,"The task took place outdoors, in the garden of the Taskmaster house.",['Bouncy castle'],"['The contestant had one hour to complete the task.', 'The task was only given to Paul Chowdhry as a bonus task, with no additional rules or limitations on how to have fun.']","['Physical', 'Performance-based', 'Time-based', 'Humor', 'Creativity']","['Creativity: Inventive ways to have fun.', 'Physicality: Energetic movement.', 'Showmanship: Making the fun entertaining for viewers.', 'Humor: Leveraging comedic elements.', 'Improvisation: Spontaneously coming up with fun activities.']",Performance-based,Solo task,[],"Alex Horne observed and documented the task as usual, providing comedic support in the studio.",3,4,88,7,8,6,1,9,5,2,1,3_4_88,Taskmaster UK,Garden,Outside House,Performance-based,Solo,8,9,7,2,10,5,9,3
Bring in a photo of your most handsome relative.,"Contestants were required to bring in a photo of what they considered to be their most handsome relative. They then presented this photo to Greg Davies and the studio audience, explaining their choice and the relationship to the relative depicted.",Studio,['Photo of chosen relative'],"[""Contestants had the freedom to interpret 'relative' and 'handsome' in any way they chose."", ""The winner was determined by Greg Davies's subjective judgment.""]","['Creative Interpretation', 'Presentation', 'Comedy']","['Creativity in interpreting the task', 'Presentation skills to justify and entertain with the choice', 'Sense of humor to engage the panel and audience', ""Lateral thinking regarding the definition of 'relative'""]",mental and performance-based,solo,"['Comedic storytelling', 'Creativity in interpretation']",Assisted in presenting the task and provided commentary.,3,5,89,7,9,1,1,8,2,5,3,3_5_89,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,7,2,3,9,1,3,2
Move the water from Bucket A to Bucket B,"Contestants were required to transfer water from one bucket (Bucket A) to another (Bucket B) without moving the buckets themselves. They had access to various impractical items to aid in the task, with the goal being to move the most water within a 10-minute timeframe.",Outdoors on the athletics track at the Barn Elms Sports Trust sports center.,"['woolly hat', 'colander', 'bag of frozen peas with a hole', 'tray', 'string bag', 'roll of tape', 'short length of hosepipe', 'coconut']","['Contestants could not move the buckets themselves.', 'They had to use the provided materials to transfer water.']","['Physical', 'problem-solving', 'time-based', 'improvisational']","['Lateral thinking', 'Problem-solving', 'Improvisation', 'Physical agility', 'Adaptability']",physical,solo,[],Alex Horne served as the task overseer and provided comedic commentary.,3,5,90,8,7,6,5,9,8,2,3,3_5_90,Taskmaster UK,Public Location,Other Locations,Physical,Solo,8,7,6,4,9,7,5,3
Play charades across a river,"Contestants are required to communicate the names of films, books, and TV programs to their teammates using charades. The twist is that the teammates are on opposite banks of a river, approximately 500 feet apart, and the miming contestant must wear large foam hands and cannot raise their voice.","Outdoors, across a river","['Large foam hands (two blue and two red)', 'Lists of films, books, and TV shows to mime', 'A bench on at least one side of the river']","['Must wear foam hands on each hand at all times', 'Cannot raise their voice', '10-minute time limit', 'Most correct guesses wins']","['Communication', 'Performance-based', 'Time-based', 'Physical (due to the distance and props)', 'Teamwork']","['Visual communication', 'Creativity', 'Patience', 'Interpretive ability', 'Team coordination']",Performance-based,Group,['Involved acting/gesturing without speaking'],"Taskmaster's assistant, provided clarification and oversight",3,5,91,8,7,4,5,9,7,2,5,3_5_91,Taskmaster UK,Public Location,Other Locations,Performance-based,Group,8,9,4,6,8,5,3,2
Create an impressive time-lapse or slow motion film.,"Contestants were tasked with creating a film that looked impressive when sped up or slowed down. They had one hour to complete the task, and they could use any materials available at the Taskmaster house to create their film.",The task took place at the Taskmaster house and its surroundings.,"['household items', 'props', 'cricket bat', 'goggles', 'various foodstuffs']","['The film needed to be impressive when sped up or slowed down.', 'Contestants had a time limit of one hour.', 'The task was performed solo.']","['Art', 'Performance', 'Visual Creativity', 'Time-Based']","['Creativity', 'Improvisation', 'Practical Filmmaking', 'Physical Coordination']",artistic,solo,['Involved acting and performance to create a visually impactful film.'],"Alex served as the task facilitator and observer, providing minimal direct input.",3,5,92,7,9,5,6,8,8,2,3,3_5_92,Taskmaster UK,Garden,Outside House,Creative,Solo,7,9,4,6,8,7,3,2
The Lowest Unique Number of Doughnuts,"Contestants must place one or more doughnuts on their stick within 100 seconds. The person with the lowest unique number of doughnuts wins. If there are no unique numbers, the task is repeated until there is a winner.",Studio,"['Stick', 'Doughnuts']","['100 seconds to decide', 'Lowest unique number wins', 'Task repeated if no unique number']","['Psychological', 'Time-based', 'Competitive', 'Strategic']","['Strategic thinking', 'Psychological insight', 'Quick decision-making', 'Composure under pressure']",Mental,Solo,[],"Alex Horne served as the task overseer and timekeeper, providing commentary and facilitating the task process.",3,5,93,6,4,2,2,8,7,3,5,3_5_93,Taskmaster UK,Lab,Inside House,Mental,Solo,8,6,3,4,7,9,5,6
Defeat the other team at human war boats,"This was a team-based live task inspired by the board game Battleships, where one team attempted to hit members of the opposing team with cushions while they lay flat and still. When hit, the players had to yell 'You've sunk me!' and vacate the field. The team that cleared their opponents' field in the fewest throws won.","Taskmaster stage, divided in half by a tall red curtain","['Large box marked with red tape', 'Tall red curtain', 'Square yellow cushions', 'A dummy (to balance team sizes)']","['Contestants had to remain in their own field', 'One team threw cushions while the other lay flat and still', 'When hit, players left the field', 'The team with the fewest throws to eliminate the other team won']","['Team task', 'Live task', 'Physical task', 'Strategy-based task']","['Throwing accuracy', 'Strategic targeting', 'Teamwork', 'Ability to remain motionless (as a target)']",performance,group,['The task involved acting as stationary targets and strategic throwing.'],"In Taskmaster NZ, this role would typically be filled by Paul Williams, who serves as the assistant, overseeing the task execution and scoring.",3,9,2739,6,5,4,3,8,5,2,4,3_9_2739,Taskmaster UK,Stage,Studio/Stage,Physical,Group,8,6,5,4,9,7,3,2
The most interesting autograph on the most interesting vegetable,Contestants were required to bring in a vegetable with an autograph on it. The task was to present the most interesting combination of vegetable and autograph.,The task took place in the main Taskmaster studio as part of the prize task segment.,"['Vegetable', 'Autograph']","['The item had to be a vegetable with an autograph.', ""The scoring was subjective, based on Greg Davies' judgment of the interestingness of both the vegetable and the autograph.""]","['Art', 'Creativity', 'Celebrity culture', 'Prize task']","['Creativity in choosing a combination', 'Networking/resourcefulness to obtain autographs', 'Strategic thinking to impress the judge', 'Humor to appeal to Greg Davies’ taste']",Artistic/creative,solo,['Involved humor and personal anecdotes during presentations'],Assisted Greg Davies in presenting the task and facilitated the discussion of the entries.,4,1,94,8,9,1,2,8,3,10,5,4_1_94,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,9,8,2,4,9,3,3,5
Destroy this cake. Most beautiful destruction wins.,"Contestants were tasked with destroying a cake in the most beautiful way possible. They had 30 minutes to complete the task, and the destruction had to be judged on its aesthetic appeal.","The task took place at the Taskmaster house, utilizing both indoor and outdoor spaces.","['Cake', 'Various tools and items available around the Taskmaster house']","['The cake must be destroyed.', 'The destruction should be beautiful.', 'Contestants had 30 minutes to complete the task.']","['Art', 'Food-related', 'Creative', 'Time-based']","['Creativity', 'Artistic vision', 'Technical skills (e.g., handling fireworks, appliances)', 'Understanding of aesthetic appeal']",artistic,solo,[],Alex Horne served as the task overseer and provided commentary and support throughout.,4,1,95,8,9,3,5,9,7,2,2,4_1_95,Taskmaster UK,Garden,Outside House,Creative,Solo,8,9,4,6,7,5,3,2
Draw a Blind Portrait,Contestants were required to draw a caricature of a person they couldn't see. They could only ask the subject yes or no questions to gather information. Bonus points were available for correctly identifying the subject's full name.,"Taskmaster house, separated by a curtain","['drawing implements', 'paper or canvas', 'curtain']","['Contestants could not look at the person they were drawing.', 'They could only ask yes or no questions.', 'The subject could only respond with yes or no.', ""Bonus points for identifying the subject's full name.""]","['Art', 'Mental', 'Deductive reasoning', 'Communication-based', 'Time-based']","['Effective questioning', 'Active listening', 'Drawing ability', 'Deductive reasoning', 'Memory retention']",artistic,solo,[],Alex facilitated the task by reading instructions and managing the setup.,4,1,96,8,9,2,6,9,7,2,4,4_1_96,Taskmaster UK,Lounge,Inside House,Creative,Solo,8,7,2,6,9,5,3,2
Fell all the rubber ducks,"Contestants were required to knock down or ""fell"" a number of rubber ducks from behind a designated line. The timing began when the first duck fell, indicating that the efficiency and speed of felling the ducks were crucial to the task.",Outdoors,"['Hose', 'Bowling ball', 'Sledgehammer', 'Various sports and garden equipment']","['Contestants had to start their time when the first duck fell.', 'They were required to do the felling from behind a rope, although they were allowed to set up their felling technique by stepping in front of the rope.']","['Physical', 'Time-based', 'Strategy', 'Outdoor', 'Game']","['Precision', 'Strategy', 'Speed', 'Adaptability', 'Tool selection']",Physical,Solo,[],"Task supervisor, explaining the rules and monitoring time.",4,1,97,7,6,5,4,8,7,3,4,4_1_97,Taskmaster UK,Garden,Outside House,Physical,Solo,8,6,4,3,7,9,3,2
Make the most juice.,"Contestants were required to produce the most juice possible using one fruit and one tool of their choice. They had to avoid picking the same fruit or tool as other contestants to avoid handicaps like juicing blindfolded, one-handed, or even while bouncing up and down.",Taskmaster stage,"['selection of fruits', 'various tools for juicing']","['Each contestant had to pick one fruit and one tool.', 'Picking the same tool as another contestant required juicing blindfolded.', 'Picking the same fruit required juicing one-handed.', 'Picking both the same fruit and tool as another meant juicing blindfolded, one-handed, and bouncing.']","['Physical', 'Food-related', 'Strategy-based', 'Time-based']","['Strategic thinking', 'Risk assessment', 'Physical dexterity', 'Adaptability', 'Creativity']",Physical and strategic,solo,[],"Alex explained the rules and monitored the task, ensuring compliance with handicaps.",4,1,98,8,7,6,5,9,7,3,6,4_1_98,Taskmaster UK,Stage,Studio/Stage,Physical,Solo,8,9,6,4,7,5,3,2
The most boastful item,"Contestants were instructed to bring in an item from home that they could boast about. This item was meant to showcase their achievements or something they were particularly proud of. They then presented these items to Greg Davies, the Taskmaster, and Alex Horne, his assistant, in the studio.",The task took place in the Taskmaster studio.,['Contestants were required to bring their own items from home. No additional materials or props were provided by the show.'],['The only constraint was that the item had to be something the contestant could boast about. It should represent an achievement or something they were proud of.'],"['Personal Achievement', 'Presentation', 'Humor', 'Creativity']","['Self-awareness to recognize personal achievements', 'Creativity in selecting and presenting the item', 'Presentation skills to effectively convey the boastfulness of the item', 'Humor to engage the audience and Taskmaster']","Performance-based, focusing on personal storytelling and presentation.","Solo task, as each contestant presented their item individually.","['Involved personal storytelling, which could be seen as a form of performance.']",Alex Horne assisted Greg Davies in the discussion and evaluation of the items. He also provided information and context for each item presented.,4,2,99,7,8,1,2,9,1,9,2,4_2_99,Taskmaster UK,Lab,Inside House,Performance-based,Solo,7,9,2,4,8,1,3,2
Keep the basketball on the treadmill,Contestants were required to keep a basketball balanced on a running treadmill for as long as possible without touching the basketball or the treadmill.,"The task took place in the Taskmaster house, likely in the lab or a similar indoor setting.","['A basketball', 'A treadmill', 'Miscellaneous items contestants might find useful, though not explicitly listed']","['Contestants were not allowed to touch the basketball or the treadmill directly.', 'They had two minutes to prepare before the treadmill was turned on.']","['Physical', 'Engineering', 'Problem-solving', 'Time-based']","['Creativity', 'Ingenuity', 'Problem-solving', 'Quick thinking', 'Understanding of physics (balance and motion)']",engineering,solo,[],"Alex Horne served as the task overseer, providing instructions and timing the attempts.",4,2,100,7,8,3,7,8,6,2,4,4_2_100,Taskmaster UK,Lab,Inside House,Physical,Solo,8,7,5,6,9,8,4,3
Paint a portrait of the Taskmaster without touching the red mat,"Contestants were required to paint a portrait of Greg Davies (the Taskmaster) while avoiding any contact with the red mat placed between them and the easel. The task involved using various means to circumvent the mat, such as creating makeshift bridges or using long implements to reach the canvas.","The task took place in the Taskmaster house's lab, a common setting for art and practical tasks.","['An easel with a canvas or paper', 'Various paints and brushes', 'A large red mat', 'A portrait photo of Greg Davies for reference', 'Additional standard art supplies']","['Contestants were not allowed to touch the red mat at any point during the task.', 'There was no explicit time limit, but speed was considered in the judging.']","['Art', 'Physical', 'Creative problem-solving', 'Balance and agility']","['Creativity and lateral thinking', 'Physical agility and balance', 'Artistic skill', 'Ingenuity in using available materials']",artistic,solo,[],"Alex Horne acted as the taskmaster's assistant, observing and facilitating the task.",4,2,101,8,9,7,7,9,5,2,3,4_2_101,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,6,7,8,5,4,3
Land the flour on the target.,Contestants were instructed to land as much flour as possible onto a target from a fixed position on a bandstand without leaving it. They had to use the available materials creatively to achieve this within a 20-minute time limit. The flour had to be loose on the target at the end to count.,"Outdoor, on the bandstand at the Taskmaster house grounds.","['Large quantity of flour', 'Target at a distance from the bandstand', 'Various props and objects around the bandstand such as funnels, tubes, and miscellaneous items']","['Contestants could not leave the bandstand.', 'The task duration was 20 minutes.', 'Only loose flour on the target counted towards the score.']","['Physical', 'Engineering', 'Time-based', 'Creative problem-solving']","['Lateral thinking and creativity', 'Ingenuity in constructing flour delivery methods', 'Physical coordination for throwing or launching', 'Teamwork and communication']",engineering,group,[],"Alex Horne provided the task and observed the execution, ensuring rules were followed.",4,2,102,7,9,5,7,8,8,3,4,4_2_102,Taskmaster UK,Garden,Outside House,Physical,Group,8,9,6,5,7,8,4,3
Move an egg into an eggcup without touching the two.,Contestants must find a way to get an egg properly positioned in an egg cup without directly touching either object with their hands or body.,Taskmaster House,"['balloon', 'chopsticks', 'piece of bread', 'rice', 'Blu Tack']","['Contestants could not touch the egg or the egg cup directly.', 'If they used a piece of equipment that another contestant also used, they incurred a one-minute penalty per shared item.']","['Creative problem-solving', 'Precision', 'Time-based']","['Lateral thinking', 'Problem-solving', 'Precision', 'Resource management', 'Time management']",engineering and mental,solo,[],"Alex Horne acted as the taskmaster’s assistant, overseeing the task, providing instructions, and ensuring rules were followed.",4,2,103,7,9,2,6,8,5,3,4,4_2_103,Taskmaster UK,Lounge,Inside House,Engineering,Solo,8,7,4,5,9,6,3,2
Make the Longest Balloon Chain,"Contestants were required to attach as many balloons together as possible, forming the longest chain. They had to keep their arms beneath a hairdressing smock and maintain eye contact with the Taskmaster, Greg Davies, throughout the task. They had 100 seconds to complete the task.",Studio (live task on the Taskmaster stage during the studio recording),"['Hairdressing smock', 'Bucket of balloons', 'Sellotape', 'Rubber bands', 'String']","['Maintain eye contact with Greg Davies', 'Arms must remain under the hairdressing smock', '100-second time limit']","['Physical', 'Time-based', 'Live performance', 'Dexterity']","['Dexterity and fine motor skills', 'Multitasking', 'Creativity in problem-solving', 'Ability to work under time pressure', 'Coordination']",physical,solo,['Required live performance due to audience presence and maintaining eye contact with Greg Davies.'],"Alex Horne acted as the task facilitator, providing the task instructions and materials.",4,2,104,7,6,5,6,8,9,2,3,4_2_104,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,7,6,5,9,8,4,2
The Best Subscription,Contestants were tasked with inventing and presenting a subscription service of their own creation. They were provided with a blank subscription form and materials to illustrate or describe their concept.,"The task took place in the Taskmaster house, specifically in the lab area.","['Blank subscription form', 'Stationery (e.g., pens, paper)', 'Various props including crafting supplies and costumes']","[""Set up the 'best' subscription"", 'No specific constraints on the type of subscription or its format']","['Creative/Inventive', 'Presentation/Performance', 'Humor/Comedic', 'Prop-Based', 'Time-Based']","['Creativity and lateral thinking', 'Presentation skills', 'Comedic timing', 'Ability to use props effectively', 'Quick thinking under time pressure']",creative and performance-based,solo,['Involved elements of acting and comedic performance'],Alex facilitated the task by explaining the rules and observing the presentations.,4,3,105,7,9,2,3,8,6,2,1,4_3_105,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,2,4,8,7,3,2
Camouflage Yourself,Contestants had to camouflage themselves within a designated area using available materials. They had 10 minutes to plan their camouflage and another 10 minutes to execute and be photographed in position.,"The task took place at the Taskmaster house and its surroundings, utilizing areas such as the doorway, grounds, study, and caravan.","['Various props and materials around the Taskmaster house', 'Additional items or assistance from Alex Horne']","['10 minutes for planning the camouflage', '10 minutes for execution and getting into position', 'A photograph would be taken to document their camouflage attempt']","['Creative', 'Visual/Artistic', 'Time-based', 'Mental', 'Spatial awareness']","['Creativity', 'Planning', 'Spatial awareness', 'Technical knowledge', 'Resource utilization']",artistic,solo,"['Some contestants used elements of visual trickery, such as Noel with the green screen.']","Provided assistance and materials upon request, such as sprinkling icing sugar for Lolly.",4,3,106,7,9,2,5,8,8,3,3,4_3_106,Taskmaster UK,Garden,Outside House,Creative,Solo,8,9,4,6,7,5,3,2
Make a trailer for Taskmaster: The Movie.,"Contestants were instructed to create a movie trailer for an imagined film titled 'Taskmaster: The Movie.' This was a team task where each team had to conceptualize, film, and present their trailer using available props and costumes at the Taskmaster house.",The Taskmaster house,"['Props', 'Costumes', 'Camera', 'Tripod', 'Editing software']","['All team members had to participate.', 'A time limit was imposed.', 'The trailers had to be presented to Greg Davies and Alex Horne in the studio for judging.']","['Creative', 'Film-making', 'Performance-based', 'Teamwork']","['Creativity and imagination', 'Teamwork and collaboration', 'Improvisational acting and comedic timing', 'Basic filmmaking and editing skills', 'Effective use of props and costumes']",performance,group,"['acting', 'improvisation', 'post-production editing']",Alex Horne assisted in introducing the task and evaluating the final presentations alongside Greg Davies.,4,3,107,6,9,2,5,9,7,3,2,4_3_107,Taskmaster UK,Lounge,Inside House,Creative,Group,8,9,4,6,10,5,3,2
Persuade three animals to stand on the mat,Contestants were required to persuade three animals (chickens or dogs) to stand on a mat. The task involved managing and directing the animals to get them to stay on the mat simultaneously.,Outdoors,"['A red mat', 'Animals (chickens or dogs)', 'Available props such as food or personal items like driving gloves']","['Time constraint: Fastest completion wins', 'The need to have exactly 12 legs standing on the mat simultaneously (for the dog task)']","['Animal-related', 'Time-based', 'Problem-solving', 'Physical']","['Animal handling and persuasion', 'Quick thinking', 'Creativity in problem-solving', 'Patience', 'Ability to adapt strategies quickly']",Performance-based,Solo,[],"Task supervisor, providing the task instructions and observing the contestants.",4,3,108,7,8,4,5,9,8,2,6,4_3_108,Taskmaster UK,Garden,Outside House,Performance-based,Solo,8,7,5,6,9,4,3,5
Transfer water from one fishbowl to another,"Contestants were instructed to transfer water from Fishbowl A to Fishbowl B without moving the fishbowls. They could only use the items provided on the table. Additionally, they had to commentate on their attempt, referring to themselves in the third person. The goal was to transfer the most water in five minutes.",Taskmaster lab,"['Various items on the table', 'Bar of chocolate']","['Fishbowls could not be moved', 'Only items on the table could be used', 'Contestants had to commentate in the third person', 'Hidden rule penalized eating the chocolate with a five-point deduction']","['Problem-solving', 'Commentary/performance', 'Time-based', 'Engineering/creativity', 'Observation/attention to detail']","['Problem-solving and creativity', 'Attention to detail', 'Time management', 'Manual dexterity', 'Multitasking']",engineering,solo,['Required commentary'],"Alex Horne presented the task and oversaw its execution, ensuring rules were followed.",4,3,109,7,8,3,6,9,8,2,4,4_3_109,Taskmaster UK,Lab,Inside House,Physical,Solo,8,7,4,5,9,8,3,2
Musical Words,"Contestants must take turns saying a word of a specified length whenever the music stops. They are not allowed to repeat any words that have already been said. If they fail to say a word before the music starts again, they are eliminated. The word length changes after each elimination, and the last contestant remaining wins the task.",The task took place in a live studio setting on the Taskmaster stage.,"['Music (played and paused by Alex Horne and The Horne Section)', 'Microphones for the contestants']","['Contestants must say a word of a specific length when the music stops.', 'Words cannot be repeated.', 'They must say their word before the music resumes.', 'Elimination occurs if a contestant fails to say a word or repeats a word.']","['Mental', 'Verbal', 'Memory-based', 'Time-based']","['Quick vocabulary recall', 'Memory for previously used words', 'Composure under pressure', 'Speed of thought']",Mental,Solo,"['The task involves a musical aspect, as contestants must quickly react to when the music stops.']","Alex Horne, along with his band, controlled the music, adding pressure and pace to the task.",4,3,110,5,3,1,4,7,8,2,3,4_3_110,Taskmaster UK,Studio,Studio/Stage,Mental,Mixed,8,7,2,4,9,8,6,3
Decant Wine from One Bottle to Another,"Contestants were required to decant wine from a full bottle into an empty bottle. The task had to be performed while sitting atop a tennis umpire's chair, and the empty bottle was placed on the ground. They had one minute to transfer as much wine as possible.",Outdoors (on a tennis umpire's chair),"['One full wine bottle', 'One empty wine bottle', 'Tennis umpire’s chair', 'Stopwatch for timing']","['Contestants must stay seated atop the umpire’s chair for the entire task.', 'They had only one minute to perform the task.', 'No tools (like a funnel) could be used; only the wine bottles were provided.']","['Physical', 'Time-based', 'Precision/Accuracy']","['Hand-eye coordination', 'Steady hands', 'Spatial awareness', 'Balance']",Physical,Solo,[],"Alex Horne served as the task introducer and commentator, adding humor and noting results.",4,3,111,7,4,6,8,8,7,1,3,4_3_111,Taskmaster UK,Garden,Outside House,Physical,Solo,8,4,6,5,7,7,3,2
The most surprising picture of yourself,"Contestants were asked to bring a picture of themselves that they deemed 'most surprising'. This could be a real photograph, a staged picture, or an altered image.",Studio,['Contestants provided their own pictures'],"['The picture must feature the contestant themselves', 'It should be surprising, according to their own interpretation', 'No explicit technical limits were placed on the format of the image']","['Artistic', 'Humorous', 'Self-reflective', 'Prize Task', 'Creative Expression']","['Creativity', 'Self-awareness', 'Presentation Skills', 'Humor', 'Technical or Artistic Skill (optional)']",artistic,solo,['Involved elements of acting and humor in the presentation'],Alex Horne introduced the task and facilitated the judging process but did not participate in the task itself.,4,4,112,8,9,1,3,9,2,7,2,4_4_112,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,2,4,7,3,3,5
