name,series,placement,gender,date_of_birth,age_during_taskmaster,current_age,nationality,birthplace,accent,occupation,comedy_style,years_active,notable_shows,notable_moments,memorable_tasks,twitter_handle,instagram_handle,interesting_facts,tags,contestant_id
Sarah Kendall,11,1,Female,1976-08-03,44,48,Australian,"Newcastle, New South Wales, Australia",Australian,"Comedian, writer, and actor","Observational, storytelling, and character-driven comedy",Since 1998,"Edinburgh Festival Fringe, Melbourne Comedy Festival, BBC Radio 2’s Parsons and Naylor’s Pull-Out Sections, Beehive, Russell Howard’s Good News, Clare in the Community, The Now Show, The Vote Now Show",Won the series with 158 points; excelled in scientific and creative tasks,Excelled in the task to find the weight of Alex Horne’s head and feet,Unknown,Unknown,Moved from Australia to the UK in 2000 to further her comedy career,"Comedian, Storytelling, Observational comedy, Australian, Taskmaster winner, Dry wit, Existential humor, Creative problem-solving, Radio performer, Edinburgh Fringe",55
Mike Wozniak,11,2,Male,1979-11-08,41,45,British,"Oxford, England",Unknown,"Comedian, writer, actor",Unknown,Since the 1990s,"Man Down, Small Scenes",Finished in second place with 154 points,"Farting task, balloon task, hopping over a fence",Unknown,Unknown,"Has a twin sister, mixed Polish and Welsh ancestry","comedian, writer, actor, Taskmaster, determined, physical comedy, British, fan favorite, creative, persistent",54
Lee Mack,11,3,Male,1968-08-04,52,56,British,"Southport, Lancashire, England, UK","Northern English, specifically from Lancashire","Comedian, actor, writer, presenter","Quick-witted, observational, self-deprecating",1994–present,"Not Going Out, Would I Lie to You?, The Sketch Show, Duck Quacks Don’t Echo, They Think It’s All Over, The Lee Mack Show, Live at the Apollo, 8 Out of 10 Cats Does Countdown, The Mighty Boosh","Inconsistent task outfits, quick wit, self-deprecating humor, chaotic approaches to tasks",Unpredictable and sometimes baffling solutions to tasks,Unknown,Unknown,"Real name is Lee Gordon McKillop, stage name Lee Mack; worked as a bluecoat at Pontin’s; sober since 2016; supports Alcohol Concern; regular participant in Soccer Aid","comedian, quick-witted, self-deprecating, Northern English, observational humor, panel show regular, sitcom creator, improvisational, energetic, family-oriented",53
Jamali Maddix,11,4,Male,1991-04-08,30,34,British,"Ilford, East London, United Kingdom",Unknown,Stand-up comedian,Engages with difficult or controversial topics,Since 2014,"Hate Thy Neighbor, Never Mind the Buzzcocks","Placed fourth overall, featured in episode titled 'Activate Jamali'",Unknown,Unknown,Unknown,"Contracted a blood infection from a tattoo, dropped out of university","Stand-up comedian, Documentary host, Panelist, Self-deprecating, Versatile, British, Controversial topics, Podcast host, Taskmaster contestant",52
Charlotte Ritchie,11,5,Female,1989-08-29,31,35,British,"Clapham, London, England",South London or standard British,Actress,Comedy and Drama,Since 2004,"Ghosts, Fresh Meat, Siblings, Dead Pixels, Call the Midwife, Feel Good, You",Finished in last place with 125 points,Unknown,Unknown,Unknown,"Experience in music industry as a singer, youth theatre involvement","Actress, Comedian, British, Versatile, Television, Taskmaster, Musician, Youth Theatre, Netflix",51
Morgana Robinson,12,1,Female,Unknown,0,0,British,Unknown,Unknown,Comedian and actress,Unknown,Unknown,Taskmaster Series 12,Winner of Series 12 with 168 points,Unknown,Unknown,Unknown,Unknown,"British, Comedian, Actress, Taskmaster Winner, Versatile",59
Guz Khan,12,2,Male,1986-01-24,35,39,British,"Coventry, West Midlands, England",West Midlands (Coventry) accent,Comedian and actor,"Observational, character-driven",2014–present,"Man Like Mobeen, Live at the Apollo, Our Flag Means Death, Taskmaster (series 12)","Finished 2nd with 167 points, known for inventive and chaotic approach to tasks","Balloon-popping task ('An imbalance in the poppability'), 'Croissants is croissants', 'A chair in a sweet', 'The customised inhaler', 'Oatmeal and death'",@guzkhanofficial,@guzkhanofficial,Lost his father at age three; raised by his mother in a tight-knit South Asian community; nickname: 'Guzzy Bear',"Comedian, British-Pakistani, Observational humor, Taskmaster, Family-oriented, Social commentary, Warm, Quick-witted, Irreverent, Authentic",58
Alan Davies,12,3,Male,1966-03-06,55,59,British,"Loughton, Essex, England","Southern English, warm and conversational","Stand-up comedian, writer, actor, and TV presenter","Observational, anecdotal, self-deprecating",1988 to present,"Jonathan Creek, QI, Urban Trauma, Alan Davies: As Yet Untitled, The Dog Rescuers","Known for laid-back, chaotic approach; memorable dry wit and self-deprecating humor","Customised inhaler, A chair in a sweet",@alandavies1,@alandavies1,Stage name early in his career: Alan Balgonie; lost his mother at age 6,"comedian, actor, TV presenter, self-deprecating, witty, observational humor, QI panellist, Jonathan Creek, animal welfare advocate",56
Desiree Burch,12,4,Female,1979-01-26,42,46,American,"Diamond Bar, California, USA",American accent with Californian inflection,"Comedian, actress, television presenter, and voice actress","Bold, confessional, and socially conscious",2005–present,"Tar Baby, New York Neo-Futurists, Funny Women competition",Energetic and creative approach to tasks,Frequently praised for inventiveness and comedic timing,@destheray,@destheray,"Moved to London in 2014 to live with her boyfriend, Samy Ouarkoub","comedian, actress, socially conscious, confessional, American, Taskmaster, theatrical, bold, charismatic, inventive",57
Victoria Coren Mitchell,12,5,Female,1972-08-18,49,52,British,"Hammersmith, West London, England","Well-educated, middle to upper-class British accent","Writer, television presenter, professional poker player",Unknown,Since teenage years,Only Connect,"Participated in tasks such as 'An imbalance in the poppability', 'Oatmeal and death'",Unknown,Unknown,Unknown,"Published a short story at age 14, adapted John Diamond's columns into a play","Writer, Television presenter, Poker player, Intellectual, Creative, Versatile, British, Taskmaster contestant, Only Connect host, Author",60
Sophie Duker,13,1,Female,January 1990,32,35,British,"London, England, UK",London,"Stand-up comedian, writer, and actress","Sharp, socially conscious, and often provocative",Since at least 2015,"Taskmaster, 8 Out of 10 Cats, Mock the Week, Live at the Apollo, Edinburgh Fringe","Won the series, known for inventive and strategic approach",Consistently strong performance,@sophiedukebox,@sophiedukebox,Can cry a single perfect tear on command,"Comedian, Writer, Actress, Socially conscious, Provocative, Taskmaster winner, Oxford graduate, British, London accent, Witty",65
Chris Ramsey,13,2,Male,1986-08-03,36,38,English,"South Shields, Tyne and Wear, England",Geordie or Tyneside,"Comedian, television presenter, actor",Unknown,Since 2011,"Hebburn, I'm A Celebrity: Extra Camp, Virtually Famous, Stand Up Central, The Chris Ramsey Show, Strictly Come Dancing, Little Mix: The Search, BBC's Children in Need","Runner-up with 170 points, memorable task involving pelting Alex Horne with milk, mysterious briefcase reveal","Episode 4 milk task, briefcase reveal",Unknown,Unknown,"Guest on Taskmaster podcast, versatile entertainer","Comedian, Television Presenter, Actor, Taskmaster, British Entertainment, Versatile, Creative, Quick Thinking, Geordie",63
Bridget Christie,13,3,Female,1971-08-17,50,53,English,"Gloucester, England",West Country with Irish influences,"Stand-up comedian, actress, writer","Observational, narrative, possibly political",2003-present,"Would I Lie to You?, Taskmaster series 13, Ghosts, It's Kevin, Anna & Katy","Finished third with 157 points, known for reading every element of task briefs",Series 13 Interview Task with Alex Horne,Unknown,Unknown,"Youngest of nine siblings, parents from Ireland","comedian, actress, writer, Taskmaster, Edinburgh Fringe, observational comedy, political comedy, British comedy, BAFTA nominee",62
Ardal O'Hanlon,13,4,Male,1965-10-08,56,59,Irish,"Carrickmacross, County Monaghan, Ireland","Irish accent, specifically from County Monaghan","Comedian, actor, and author","Stand-up comedy, sitcom acting, character-driven humor",Early 1990s to present,"Father Ted, My Hero, Death in Paradise, The Stand Up Show","Gentle, sometimes befuddled approach to tasks, memorable tasks like 'The noise that blue makes', 'Birdy hand finger', and 'Shoe Who'","Mix of earnestness and comic misunderstanding, leading to clever and humorously disastrous results",Unknown,Unknown,"Son of Rory O'Hanlon, a politician and doctor, and Teresa Ward; once mistaken for a real priest while in costume for Father Ted","comedian, Irish, Father Ted, gentle humor, self-deprecating, observational comedy, actor, author, Taskmaster, warm personality",61
Judi Love,13,5,Female,1980-06-04,42,44,English,Unknown,Unknown,Comedian and Presenter,Stand-up,14 years,"Loose Women, MasterChef, Strictly Come Dancing",Found a duck not planted by Alex Horne,Performed well in the duck finding task,Unknown,Unknown,Multifaceted entertainer with appearances across various television formats,"Comedian, Presenter, Taskmaster, Loose Women, Versatile, Television, Stand-up, Entertainer",64
Dara Ó Briain,14,1,Male,1972-02-04,50,53,Irish,"Bray, County Wicklow, Ireland","Irish accent, specifically from the east coast of Ireland (Wicklow/Dublin area)","Comedian, television presenter, and writer","Observational comedy, science-based humor, quick-witted improvisation, and storytelling",Over 25 years,"Hosted BBC’s Mock the Week, The Panel, Dara Ó Briain: School of Hard Sums, Stargazing Live, Go 8 Bit, One & Six Zeros; Stand-up tours","Won Series 14 with 184 points, highest total ever at the time; won the third Taskmaster: Champion of Champions special in 2024","Analytical approach and lateral thinking, excelling in logic-based or creative tasks",@daraobriain,@daraobriain,"Holds a degree in mathematics and theoretical physics; known for height (6'4"")","Intelligent, Quick-witted, Affable, Self-deprecating, Analytical, Science communicator, Observational humor, Irish culture, Tall, Comedic storyteller",66
Sarah Millican,14,2,Female,1975-05-29,47,49,British,"South Shields, Tyne and Wear, England",Geordie,Stand-up comedian and television personality,Observational comedy,Since 2004,"Taskmaster, Edinburgh Festival Fringe",Finished in second place with 174 points,Completed a timed challenge in six minutes and 16 seconds; fumbled frozen peas and shouted about fish,Unknown,Unknown,Retained her first husband's surname professionally,"Comedian, Observational, Geordie, Taskmaster, Television personality, Relatable, Quick-thinking, Self-deprecating, British",70
Munya Chawawa,14,3,Male,Unknown,0,0,British-Zimbabwean,Unknown,Unknown,Comedian,Unknown,Unknown,Unknown,Finished in third place with 150 points,Fell in a bath in episode 2; attempted DIY with a coat hanger in episode 4; demonstrated martial arts in episode 5,Unknown,Unknown,Unknown,"Comedian, Taskmaster, British-Zimbabwean, Series 14, Third place",69
Fern Brady,14,4,Female,1986-05-26,36,38,Scottish,"Bathgate, West Lothian, Scotland","Scottish, specifically West Lothian","Comedian, podcaster, and writer","Stand-up comedy, personal experiences, social commentary",2010–present,"Edinburgh Fringe Festival, 8 Out of 10 Cats, Wheel of Misfortune podcast","Unique and chaotic approach to tasks, memorable reactions and commentary","Unconventional toilet paper task, reactions to time constraints",@fernbrady,@fernfrombathgate,"Diagnosed as autistic in 2021, active in autism education and advocacy","Comedian, Scottish, Autistic advocate, Stand-up, Podcast host, Dry wit, Authentic, Chaotic, Social commentary, Memoir author",67
John Kearns,14,5,Male,1987-04-10,35,38,British,"Tooting, London, England, United Kingdom",South London,Comedian and actor,"Surreal, character-driven, absurdist",2010s–present,"Sight Gags for Perverts, Shtick, Top Coppers, 8 Out of 10 Cats Does Countdown, Richard Osman's House of Games, Guessable?","Finished joint fourth with 144 points, known for eccentric and baffling approach to tasks","Sand-weight team task, prize tasks with sailor’s hat",@johnkearns,Unknown,Only comedian to win both Best Newcomer and Best Show at the Edinburgh Comedy Awards in consecutive years,"Eccentric, Deadpan, Surreal, Inventive, Underdog, Absurdist, Comedian, British, Taskmaster, Character-driven",68
Mae Martin,15,1,Non-binary,Unknown,0,0,Canadian,Unknown,Unknown,"Comedian, actor, screenwriter",Unknown,Unknown,Feel Good,Won Series 15 with 174 points,"Participated in tasks like 'The curse of politeness', 'Trapped in a loveless marriage', 'How heavy is the water?'",Unknown,Unknown,First non-binary contestant to win Taskmaster UK,"non-binary, comedian, Taskmaster winner, Canadian, Feel Good",75
Kiell Smith-Bynoe,15,2,Male,1989-03-05,34,36,British,"Newham, East London, England, UK","London accent, specifically East London","Actor, comedian, and presenter","Character-driven comedy, improvisation, and situational humor",2012–present,"Ghosts, Stath Lets Flats, Man Like Mobeen, Enterprice, Diary of a Bad Man, Whitechapel, Red Flag, The Great British Sewing Bee","Inventive and energetic approach to tasks, finished in 2nd place with 158 points",Praised for quick thinking and improvisational skills,@kielsmithbynoe,@kielsmithbynoe,"Performed as MC Klayze Flaymz, releasing the viral grime track Junior Spesh","energetic, inventive, improvisational, comedic actor, Taskmaster, East London, character-driven, positive, quick-witted, engaging",74
Jenny Eclair,15,3,Female,1960-03-16,63,65,British,"Kuala Lumpur, Federation of Malaya (now Malaysia)","English accent, blend of Northern and London tones","Comedian, novelist, actress, and writer","Stand-up comedy, television comedy, observational humor",1983–present,"Grumpy Old Women, Loose Women, I'm a Celebrity... Get Me Out of Here!, LBC Radio","Enthusiastic and competitive approach, memorable barge task",Barge task,Unknown,Unknown,First female solo winner of the Perrier Award,"comedian, pioneer, observational humor, energetic, witty, British, stand-up, author, actress, Taskmaster",73
Frankie Boyle,15,4,Male,1972-08-16,50,52,Scottish,"Pollokshaws, Scotland",Scottish,Comedian and Writer,"Cynical, Surreal, Graphic, Controversial",Since 1995,"Mock the Week, Frankie Boyle's Tramadol Nights, Frankie Boyle's New World Order, Frankie Boyle's Tour of Scotland, Taskmaster UK",Unknown,Unknown,Unknown,Unknown,"Known for morbid sense of humor, often controversial","Cynical, Surreal, Controversial, Scottish, Comedian, Writer, Satire, Black Comedy, Political Humor, Taskmaster Contestant",71
Ivo Graham,15,5,Male,1990-09-05,32,34,English,"Tokyo, Japan",Unknown,Stand-up comedian and comedy writer,Self-deprecating,Since 2008,"Taskmaster Series 15, British as Folk","Self-styled loser, creating a fake mummy","Lucky prize tasks, fake mummy challenge",Unknown,Unknown,"Born in Tokyo, moved frequently due to father's work","self-deprecating, privileged background, elite education, stand-up comedian, Taskmaster contestant, podcast host, comedy writer, British as Folk, Eton College, Oxford graduate",72
Sam Campbell,16,1,Male,1991,32,34,Australian,Australia,Australian,"Stand-up comedian, writer, and actor","Surreal, absurdist, and experimental comedy",Since early 2010s,Winner of the 2022 Edinburgh Comedy Award for Best Comedy Show with 'Comedy Show',"Won the series with 161 points, known for eccentric approach to tasks",Inventive and chaotic solutions praised for originality,@campbellsam,@samcampbelltown,Known for unpredictable and surreal humor,"Eccentric, Unpredictable, Playful, Original, Surreal",78
Julian Clary,16,2,Male,1959-05-25,64,65,English,"Surbiton, Surrey, England",Unknown,"Actor, comedian, novelist, presenter","Alternative comedy, camp humor, innuendo",Since 1981,"Sticky Moments, Terry & Julian, All Rise for Julian Clary, The Mincing Machine Tour, My Glittering Passage, Natural Born Mincer, Lord of the Mince, Position Vacant: Apply Within, The Joy of Mincing, Born To Mince","Finished in second place with 155 points, notable for low tolerance of Alex Horne",Unknown,Unknown,Unknown,"Conceived in Clacton-on-Sea in 1958, raised as Roman Catholic, two great-grandparents were German immigrants","camp comedy, sharp wit, alternative humor, television presenter, novelist, Taskmaster contestant, pantomime performer, Celebrity Big Brother winner, British comedian, theatrical delivery",76
Susan Wokoma,16,3,Female,1987-12-31,35,37,British,"Southwark, London",London accent,"Actress, writer, and director",Unknown,Since 2002,"Chewing Gum, Crazyhead, Crashing, Cheaters",Finished third with 139 points,Mischief task involving a prank on Sam Campbell,Unknown,Unknown,Known by nicknames 'Susie' or 'Suz',"British actress, writer, director, Nigerian heritage, RADA-trained, mischievous, creative, versatile, Taskmaster contestant",80
Sue Perkins,16,4,Female,1969-09-22,54,55,British,"Croydon, London, England","Southern English accent, clear, articulate, and slightly posh","Comedian, broadcaster, presenter, actress, and writer","Observational comedy, witty repartee, intellectual and self-deprecating humor",1993–present,"Mel and Sue, The Great British Bake Off, Insert Name Here, Just a Minute","Self-disqualification during a live task, quick wit and humor",Final studio task involving dragging a glass on toilet paper,@sueperkins,@sueperkins,"Long-term relationship with Anna Richardson, conducted orchestras, appeared in music-related documentaries","witty, generous, self-deprecating, supportive, quick-thinking, observational humor, intellectual, Southern English accent, comedy duo, broadcaster",79
Lucy Beaumont,16,5,Female,1983-08-10,40,41,British,"Truro, Cornwall, England",Hull (East Yorkshire) accent,"Comedian, actor, and writer","Observational, anecdotal, and character-driven comedy",2009–present,"Stand-up finalist in *So You Think You're Funny* (2011), Winner of the BBC Radio New Comedy Award (2012), Debut Edinburgh Fringe show *We Can Twerk It Out* (2014), Co-writer and star of BBC Radio 2 sitcom *To Hull and Back* (2014–2018), Appeared on BBC Three's *Live at the Electric*","Known for her surreal, unpredictable approach to tasks, often resulting in memorable and humorous moments","Participated in tasks such as exorcising Alex Horne, which involved physical comedy and improvisation",@LucyABeaumont,@thelucybeaumont,"Daughter of playwright Gill Adams, who won the Fringe First Award at the Edinburgh Festival in 1997; Worked at the meat counter at Asda in Hull before her comedy career; Married comedian Jon Richardson in 2015; separated in 2024; they have one child","Comedian, Actor, Writer, Northern English, Observational Comedy, Hull Accent, Taskmaster Contestant, Whimsical, Character-driven Humor, Radio and TV Personality",77
John Robins,17,1,Male,1982-05-04,42,43,British,"Bristol, England, United Kingdom","English accent, specifically from the West Country/Bristol region",Stand-up comedian and radio presenter,"Observational, confessional, and autobiographical comedy",Approximately 20 years,Performed solo shows at the Edinburgh Festival Fringe annually from 2009 to 2015,"Won the series with 192 points, the highest ever in Taskmaster history",Praised for his consistent performance and strategic approach,Unknown,Unknown,"Shared a flat with prominent comedians Jon Richardson, Russell Howard, and Mark Olver","competitive, analytical, confessional comedy, British comedian, Taskmaster winner, radio presenter, Oxford graduate, Bristol accent, observational humor, mental health themes",82
Joanne McNally,17,2,Female,1983-05-07,41,42,Irish,"County Roscommon, Ireland","Irish accent, specifically reflecting her upbringing in County Dublin with a lively Dublin lilt","Stand-up comedian, writer, actress, and podcaster","Observational, confessional, and satirical comedy",2013–present,"Co-hosted Republic of Telly, toured with PJ Gallagher in Separated at Birth, stand-up tours across Ireland and the UK","Known for her unorthodox and creative approaches to tasks, impressing Greg Davies with her tactics","Grappling with my life, Jumungo, Snooker cue umbrella chin",@jomcnally,@joannemcnallycomedy,Adopted as a child and has spoken openly about her adoption journey,"Irish comedian, observational humor, podcaster, quick-witted, self-deprecating, creative, fearless, adoption advocate, expressive",81
Steve Pemberton,17,3,Male,1967-09-01,56,57,British,"Blackburn, Lancashire, England","Northern English accent, specifically from Lancashire","Actor, comedian, writer, and director","Dark comedy, surreal humor, character-driven sketches",1995–present,"The League of Gentlemen, Psychoville, Inside No. 9, Doctor Who, Benidorm, Blackpool, Shameless, Whitechapel, Happy Valley, Mapp & Lucia","Known for his inventive and lateral thinking in tasks, as well as his dry wit","Specific tasks not detailed, but praised for creativity and humor",Unknown,Unknown,"Met his long-term collaborators at university, known for playing multiple characters in his shows","dark comedy, surreal humor, character-driven, versatile performer, inventive, dry wit, British comedy, creative, actor, writer",85
Sophie Willan,17,4,Female,1987-10-21,36,37,English,"Bolton, Greater Manchester, England",Northern English,"Comedian, actress, writer, narrator",Draws from personal experiences and life challenges,Since at least 2015,"Alma's Not Normal, On Record, Branded","Twerking queen, entertaining and chaotic approach","Swim chasing a Gorilla, sneaking umbrellas, creating Wolfie the beatboxing wolf-woman",Unknown,Unknown,"Challenging upbringing, time in care system, worked as an escort","Comedian, Actress, Writer, Narrator, Northern English, Personal experiences, Taskmaster, BAFTA winner, Bold, Authentic",84
Nick Mohammed,17,5,Male,1980-10-04,43,44,British,"Leeds, West Yorkshire, England",Yorkshire,"Actor, Comedian, Writer","Character comedy, Absurdist",Since 2006,"Intelligence, Ted Lasso",Dressed in full Dracula costume and makeup,Unknown,Unknown,Unknown,His character Mr. Swallow has been a significant part of his comedy career,"Actor, Comedian, Writer, Ted Lasso, Dracula costume, Yorkshire, Emmy-nominated, Mr. Swallow, Intelligence, Cambridge Footlights",83
Andy Zaltzman,18,1,Male,1974-10-06,49,50,British,"Hammersmith, West London, England, UK",Standard British accent with clear diction and a slightly dry delivery,"Comedian, podcaster, presenter, and statistician",Political and satirical comedy,1999–present,"Political Animal, The Department, The Bugle, Test Match Special, The News Quiz","Won the series with 160 points, known for analytical approach and dry wit","Excelled in tasks requiring lateral thinking and wordplay, such as cinema chair-counting challenge",@ZaltzCricket,Unknown,"Older brother of Helen Zaltzman, son of sculptor Zack Zaltzman","analytical, witty, dry humor, intelligent, satirical, political comedy, cricket enthusiast, podcaster, British comedian, Taskmaster winner",86
Jack Dee,18,2,Male,1961-09-24,0,63,English,"Bromley, Kent, England",British,"Stand-up comedian, actor, presenter, writer","Deadpan, sarcasm, irony",Since 1986,"Lead Balloon, I'm Sorry I Haven't a Clue, Shooting Stars, Live at the Apollo, The Jack Dee Show, Jack Dee's Saturday Night, Jack Dee's Happy Hour, Celebrity Big Brother 1, Bad Move, Very Nearly An Armful, Have I Got News for You, QI, Jack Dee's HelpDesk, Josh",Unknown,Unknown,Unknown,Unknown,Known for turning grumpiness into an art form,"Deadpan, Sarcastic, British comedian, Dry humor, Television presenter, Actor, Writer, Podcast host, BAFTA nominee, Celebrity Big Brother winner",89
Emma Sidi,18,3,Female,Unknown,0,0,British,"England, UK",Standard Southern English,"Actress, comedian, and writer","Character comedy, sketch, and stand-up",Since at least 2014,"Sweet Home Lahnsteineringa, Stath Lets Flats, Pls Like","Creative and energetic approaches, won 40% of episodes",Inventive performances and character work were highlights,No active account found,Unknown,Fluent in French and Spanish,"versatile, linguistic skills, character comedy, energetic, inventive, playful, absurdist humor, expressive, animated",88
Babatunde Aléshé,18,4,Unknown,Unknown,0,0,British,Unknown,Unknown,Actor and comedian,Unknown,Unknown,Taskmaster UK Series 18,Finished in 4th place with 147 points,"Attached ducks to his fingers in Episode 2; wore a special outfit in Episode 4, Task 2; brought a horned Viking helmet in Episode 2 prize task",Unknown,Unknown,Interviewed by Alex Horne as part of promotional content for Series 18,"comedian, actor, Taskmaster, British, stand-up, television",87
Rosie Jones,18,5,Female,1990-06-24,34,34,British,"Bridlington, Humberside, England",Yorkshire,"Comedian, writer, actress","Self-deprecating, disability-focused",Since 2016,"The Last Leg, 8 Out of 10 Cats, QI, Would I Lie to You?, Hypothetical, Edinburgh Festival Fringe",Finished in last place with 137 points,Expressed frustration with Jack Dee in Episode 7,Unknown,Unknown,"Lives in a flat with a wall of bookcases, enjoys 'Deadloch' on Amazon Prime Video","Comedian, Writer, Actress, Cerebral Palsy, Disability Advocate, Self-deprecating Humor, Yorkshire, Taskmaster Contestant, Children's Author, Panel Show Regular",90
